證券代碼,年月,序號,法定人數,不足人數,進用人數,不足百分比
5519 隆大,202002  ,1,1,1,0,100.00
5522 遠雄,202002  ,1,2,2,0,100.00
5534 長虹,202002  ,1,1,1,0,100.00
5820 日盛金,202002  ,1,1,1,0,100.00
5827 華泰銀行,202002  ,1,8,1,7,12.50
5830 三信銀行,202002  ,1,10,2,8,20.00
5839 中華開發資本,202002  ,1,1,1,0,100.00
5843 兆豐銀行,202002  ,1,3,1,2,33.33
5844 一銀,202002  ,1,1,1,0,100.00
5848 台新銀,202002  ,1,1,1,0,100.00
5862 板信銀,202002  ,1,13,4,9,30.77
5865 富邦人壽,202002  ,1,275,7,268,2.55
5868 臺灣金控,202002  ,1,1,1,0,100.00
5870 花旗台灣,202002  ,1,40,5,35,12.50
5871 中租-KY,202002  ,1,7,2,5,28.57
5871 中租-KY,202002  ,2,1,1,0,100.00
5876 上海商銀,202002  ,1,25,5,20,20.00
6005 群益證,202002  ,1,6,3,3,50.00
6008 凱基證,202002  ,1,2,1,1,50.00
6008 凱基證,202002  ,2,1,1,0,100.00
6008 凱基證,202002  ,3,27,9,18,33.33
6016 康和證,202002  ,1,1,1,0,100.00
6021 美好證,202002  ,1,1,1,0,100.00
6028 公勝保經,202002  ,1,1,1,0,100.00
6105 瑞傳,202002  ,1,1,1,0,100.00
6116 彩晶,202002  ,1,3,1,2,33.33
6116 彩晶,202002  ,2,27,6,21,22.22
6121 新普,202002  ,1,2,1,1,50.00
6121 新普,202002  ,2,4,3,1,75.00
6138 茂達,202002  ,1,1,1,0,100.00
6138 茂達,202002  ,2,2,1,1,50.00
6146 耕興,202002  ,1,6,1,5,16.67
6151 晉倫,202002  ,1,1,1,0,100.00
6166 凌華,202002  ,1,9,3,6,33.33
6180 橘子,202002  ,1,1,1,0,100.00
6180 橘子,202002  ,2,1,1,0,100.00
6180 橘子,202002  ,3,3,2,1,66.67
6188 廣明,202002  ,1,1,1,0,100.00
