證券代碼,年月,序號,法定人數,不足人數,進用人數,不足百分比
6432 今展科,202005  ,1,1,1,0,100.00
6435 大中,202005  ,1,1,1,0,100.00
6440 D 台灣之星,202005  ,1,21,3,18,14.29
6441 廣錠,202005  ,1,1,1,0,100.00
6456 GIS-KY,202005  ,1,6,1,5,16.67
6457 紘康,202005  ,1,1,1,0,100.00
6462 神盾,202005  ,1,4,2,2,50.00
6469 大樹,202005  ,1,13,6,7,46.15
6472 保瑞,202005  ,1,2,1,1,50.00
6474 華豫寧,202005  ,1,1,1,0,100.00
6478 創威智聯,202005  ,1,1,1,0,100.00
6494 九齊,202005  ,1,1,1,0,100.00
6510 精測,202005  ,1,9,3,6,33.33
6526 達發,202005  ,1,3,2,1,66.67
6531 愛普*,202005  ,1,1,1,0,100.00
6546 正基,202005  ,1,1,1,0,100.00
6547 高端疫苗,202005  ,1,1,1,0,100.00
6572 博錸,202005  ,1,1,1,0,100.00
6573 虹揚-KY,202005  ,1,1,1,0,100.00
6592 和潤企業,202005  ,1,9,2,7,22.22
6592 和潤企業,202005  ,2,4,4,0,100.00
6603 富強鑫,202005  ,1,3,1,2,33.33
6614 資拓宏宇,202005  ,1,10,1,9,10.00
6632 向上國際,202005  ,1,1,1,0,100.00
6642 富致,202005  ,1,1,1,0,100.00
6647 合迪,202005  ,1,8,2,6,25.00
6658 聯策,202005  ,1,1,1,0,100.00
6667 信紘科,202005  ,1,2,2,0,100.00
6669 緯穎,202005  ,1,14,2,12,14.29
6704 國璽幹細胞,202005  ,1,1,1,0,100.00
6707 富基電通,202005  ,1,1,1,0,100.00
6712 長聖,202005  ,1,1,1,0,100.00
6715 嘉基,202005  ,1,1,1,0,100.00
6719 力智,202005  ,1,2,1,1,50.00
6743 安普新,202005  ,1,1,1,0,100.00
6751 智聯服務,202005  ,1,2,1,1,50.00
6758 冠亞,202005  ,1,1,1,0,100.00
6768 志強-KY,202005  ,1,2,1,1,50.00
6775 穎台科技,202005  ,1,4,1,3,25.00
6781 AES-KY,202005  ,1,2,2,0,100.00
6792 詠業,202005  ,1,1,1,0,100.00
6826 和淞,202005  ,1,5,5,0,100.00
6830 汎銓,202005  ,1,3,3,0,100.00
6832 金鼎科,202005  ,1,1,1,0,100.00
6922 宸曜,202005  ,1,1,1,0,100.00
7555 美萌,202005  ,1,1,1,0,100.00
7631 聚賢研發-創,202005  ,1,1,1,0,100.00
7706 宏碁創達,202005  ,1,2,1,1,50.00
7708 全家餐飲,202005  ,1,8,1,7,12.50
7710 東擎科技,202005  ,1,1,1,0,100.00
7711 永擎,202005  ,1,2,2,0,100.00
7722 LINEPAY,202005  ,1,1,1,0,100.00
7750 新代,202005  ,1,3,1,2,33.33
7751 竑騰,202005  ,1,1,1,0,100.00
7798 將捷,202005  ,1,1,1,0,100.00
7801 華芸科技,202005  ,1,1,1,0,100.00
7810 捷創科技,202005  ,1,1,1,0,100.00
7822 倍利科,202005  ,1,1,1,0,100.00
8024 佑華,202005  ,1,1,1,0,100.00
8032 光菱,202005  ,1,1,1,0,100.00
8044 網家,202005  ,1,17,2,15,11.76
8050 廣積,202005  ,1,5,4,1,80.00
8050 廣積,202005  ,2,1,1,0,100.00
8050 廣積,202005  ,3,1,1,0,100.00
8059 凱碩,202005  ,1,1,1,0,100.00
8071 能率網通,202005  ,1,1,1,0,100.00
8071 能率網通,202005  ,2,1,1,0,100.00
8081 致新,202005  ,1,3,1,2,33.33
8091 翔名,202005  ,1,3,2,1,66.67
8111 立碁,202005  ,1,2,1,1,50.00
8163 達方,202005  ,1,1,1,0,100.00
8163 達方,202005  ,2,5,2,3,40.00
8201 無敵,202005  ,1,1,1,0,100.00
8215 明基材,202005  ,1,1,1,0,100.00
8249 菱光,202005  ,1,1,1,0,100.00
8271 宇瞻,202005  ,1,5,1,4,20.00
8284 三竹,202005  ,1,3,1,2,33.33
8358 金居,202005  ,1,3,3,0,100.00
8367 建新國際,202005  ,1,1,1,0,100.00
8376 遠鼎投資,202005  ,1,2,1,1,50.00
8376 遠鼎投資,202005  ,2,1,1,0,100.00
8390 金益鼎,202005  ,1,1,1,0,100.00
8396 千翔保全,202005  ,1,1,1,0,100.00
8403 盛弘,202005  ,1,1,1,0,100.00
8406 金可-KY,202005  ,1,16,4,12,25.00
8409 商之器,202005  ,1,1,1,0,100.00
8436 大江,202005  ,1,2,2,0,100.00
8446 華研,202005  ,1,1,1,0,100.00
8463 潤泰材,202005  ,1,3,2,1,66.67
8477 創業家,202005  ,1,1,1,0,100.00
8478 東哥遊艇,202005  ,1,5,1,4,20.00
8491 真好玩,202005  ,1,1,1,0,100.00
8916 光隆,202005  ,1,1,1,0,100.00
8931 大汽電,202005  ,1,1,1,0,100.00
8942 森鉅,202005  ,1,1,1,0,100.00
8958 誠品,202005  ,1,11,4,7,36.36
8996 高力,202005  ,1,4,1,3,25.00
9105 泰金寶-DR,202005  ,1,13,10,3,76.92
9106 新焦點-DR,202005  ,1,1,1,0,100.00
916665 爾必達,202005  ,1,7,3,4,42.86
9904 寶成,202005  ,1,1,1,0,100.00
9911 櫻花,202005  ,1,1,1,0,100.00
9917 中保科,202005  ,1,1,1,0,100.00
9925 新保,202005  ,1,1,1,0,100.00
9930 中聯資源,202005  ,1,3,2,1,66.67
9933 中鼎,202005  ,1,2,1,1,50.00
9941 裕融,202005  ,1,6,1,5,16.67
9943 好樂迪,202005  ,1,1,1,0,100.00
9945 潤泰新,202005  ,1,8,2,6,25.00
9945 潤泰新,202005  ,2,3,2,1,66.67
9958 世紀鋼,202005  ,1,1,1,0,100.00
9968 華歌爾,202005  ,1,19,2,17,10.53
9971 立大開發,202005  ,1,1,1,0,100.00
A00045 富蘭克林,202005  ,1,2,1,1,50.00
B00029 富蘭克林投顧,202005  ,1,1,1,0,100.00
000116 日盛證券,202006  ,1,1,1,0,100.00
000700 兆豐證券,202006  ,1,1,1,0,100.00
000884 玉山證券,202006  ,1,2,2,0,100.00
000930 華南永昌證券,202006  ,1,1,1,0,100.00
000980 元大證券,202006  ,1,3,1,2,33.33
000980 元大證券,202006  ,2,12,2,10,16.67
1101 台泥,202006  ,1,1,1,0,100.00
1101 台泥,202006  ,2,2,1,1,50.00
1101 台泥,202006  ,3,2,2,0,100.00
1102 亞泥,202006  ,1,1,1,0,100.00
1201 味全,202006  ,1,4,1,3,25.00
1210 大成,202006  ,1,11,5,6,45.45
1210 大成,202006  ,2,1,1,0,100.00
1216 統一,202006  ,1,1,1,0,100.00
1216 統一,202006  ,2,1,1,0,100.00
1216 統一,202006  ,3,3,1,2,33.33
1227 佳格,202006  ,1,3,1,2,33.33
1227 佳格,202006  ,2,9,1,8,11.11
1232 大統益,202006  ,1,1,1,0,100.00
1232 大統益,202006  ,2,2,1,1,50.00
1268 漢來美食,202006  ,1,1,1,0,100.00
1269 乾杯,202006  ,1,2,2,0,100.00
1301 台塑,202006  ,1,7,2,5,28.57
1303 南亞,202006  ,1,16,4,12,25.00
1303 南亞,202006  ,2,2,2,0,100.00
1304 台聚,202006  ,1,4,3,1,75.00
1310 台苯,202006  ,1,1,1,0,100.00
1314 中石化,202006  ,1,3,1,2,33.33
1314 中石化,202006  ,2,1,1,0,100.00
1321 大洋,202006  ,1,1,1,0,100.00
1326 台化,202006  ,1,1,1,0,100.00
1402 遠東新,202006  ,1,3,2,1,66.67
1402 遠東新,202006  ,2,1,1,0,100.00
1402 遠東新,202006  ,3,2,1,1,50.00
1402 遠東新,202006  ,4,1,1,0,100.00
1402 遠東新,202006  ,5,1,1,0,100.00
1410 南染,202006  ,1,1,1,0,100.00
1419 新紡,202006  ,1,2,1,1,50.00
1440 南紡,202006  ,1,5,3,2,60.00
1447 力鵬,202006  ,1,7,2,5,28.57
1452 宏益,202006  ,1,2,2,0,100.00
1467 南緯,202006  ,1,1,1,0,100.00
1476 儒鴻,202006  ,1,4,1,3,25.00
1490 台灣維達衛生用品,202006  ,1,1,1,0,100.00
1503 士電,202006  ,1,9,1,8,11.11
1503 士電,202006  ,2,4,2,2,50.00
1504 東元,202006  ,1,1,1,0,100.00
1507 日立永大電梯,202006  ,1,1,1,0,100.00
1507 日立永大電梯,202006  ,2,18,2,16,11.11
1519 華城,202006  ,1,1,1,0,100.00
1532 勤美,202006  ,1,1,1,0,100.00
1538 正峰,202006  ,1,1,1,0,100.00
1566 捷邦,202006  ,1,1,1,0,100.00
1582 信錦,202006  ,1,2,2,0,100.00
1584 精剛,202006  ,1,1,1,0,100.00
1595 川寶,202006  ,1,1,1,0,100.00
1605 華新,202006  ,1,4,2,2,50.00
1605 華新,202006  ,2,5,1,4,20.00
1605 華新,202006  ,3,28,14,14,50.00
1701 中化,202006  ,1,4,4,0,100.00
1701 中化,202006  ,2,1,1,0,100.00
1702 南僑,202006  ,1,3,1,2,33.33
1710 東聯,202006  ,1,2,1,1,50.00
1711 永光,202006  ,1,2,2,0,100.00
1715 萬洲,202006  ,1,6,5,1,83.33
1716 永信藥品,202006  ,1,1,1,0,100.00
1718 中纖,202006  ,1,25,3,22,12.00
1718 中纖,202006  ,2,1,1,0,100.00
1724 台硝,202006  ,1,2,2,0,100.00
1725 元禎,202006  ,1,1,1,0,100.00
1763 奇美實業,202006  ,1,21,1,20,4.76
1763 奇美實業,202006  ,2,10,7,3,70.00
1764 長春石化,202006  ,1,9,4,5,44.44
1764 長春石化,202006  ,2,27,7,20,25.93
1765 長春樹脂,202006  ,1,20,3,17,15.00
1766 大連化工,202006  ,1,9,4,5,44.44
1776 展宇,202006  ,1,1,1,0,100.00
1780 立弘,202006  ,1,1,1,0,100.00
1788 杏昌,202006  ,1,2,1,1,50.00
1795 美時,202006  ,1,4,2,2,50.00
1796 金穎生技,202006  ,1,2,1,1,50.00
1802 台玻,202006  ,1,2,2,0,100.00
1802 台玻,202006  ,2,2,1,1,50.00
1808 潤隆,202006  ,1,2,2,0,100.00
1813 寶利徠,202006  ,1,1,1,0,100.00
1904 正隆,202006  ,1,3,1,2,33.33
2002 中鋼,202006  ,1,7,2,5,28.57
2002 中鋼,202006  ,2,32,8,24,25.00
2002 中鋼,202006  ,3,3,2,1,66.67
2002 中鋼,202006  ,4,1,1,0,100.00
2002 中鋼,202006  ,5,1,1,0,100.00
2007 燁興,202006  ,1,1,1,0,100.00
2020 美亞,202006  ,1,3,1,2,33.33
2023 燁輝,202006  ,1,1,1,0,100.00
2031 新光鋼,202006  ,1,2,1,1,50.00
2041 燁茂實業,202006  ,1,1,1,0,100.00
2056 璋釔,202006  ,1,1,1,0,100.00
2068 優頻,202006  ,1,1,1,0,100.00
2072 世紀風電,202006  ,1,1,1,0,100.00
2103 台橡,202006  ,1,7,1,6,14.29
2201 裕隆,202006  ,1,6,1,5,16.67
2201 裕隆,202006  ,2,1,1,0,100.00
2201 裕隆,202006  ,3,4,2,2,50.00
2204 中華,202006  ,1,1,1,0,100.00
2207 和泰車,202006  ,1,1,1,0,100.00
2207 和泰車,202006  ,2,3,1,2,33.33
2207 和泰車,202006  ,3,9,2,7,22.22
2207 和泰車,202006  ,4,4,4,0,100.00
2211 長榮鋼,202006  ,1,3,1,2,33.33
2222 桃苗汽車,202006  ,1,18,1,17,5.56
2225 國都汽車,202006  ,1,18,2,16,11.11
2247 汎德永業,202006  ,1,1,1,0,100.00
2301 光寶科,202006  ,1,9,5,4,55.56
2301 光寶科,202006  ,2,2,1,1,50.00
2308 台達電,202006  ,1,8,5,3,62.50
2308 台達電,202006  ,2,10,1,9,10.00
2308 台達電,202006  ,3,1,1,0,100.00
2311 日月光,202006  ,1,40,6,34,15.00
2312 金寶,202006  ,1,1,1,0,100.00
2312 金寶,202006  ,2,1,1,0,100.00
2312 金寶,202006  ,3,1,1,0,100.00
2312 金寶,202006  ,4,1,1,0,100.00
2312 金寶,202006  ,5,13,9,4,69.23
2317 鴻海,202006  ,1,1,1,0,100.00
2330 台積電,202006  ,1,6,2,4,33.33
2330 台積電,202006  ,2,10,5,5,50.00
2332 友訊,202006  ,1,7,2,5,28.57
2338 光罩,202006  ,1,1,1,0,100.00
2338 光罩,202006  ,2,2,2,0,100.00
2344 華邦電,202006  ,1,28,14,14,50.00
2345 智邦,202006  ,1,26,11,15,42.31
2348 海悅,202006  ,1,2,2,0,100.00
2349 錸德,202006  ,1,1,1,0,100.00
2350 環電,202006  ,1,40,6,34,15.00
2352 佳世達,202006  ,1,6,1,5,16.67
2352 佳世達,202006  ,2,1,1,0,100.00
2352 佳世達,202006  ,3,1,1,0,100.00
2352 佳世達,202006  ,4,1,1,0,100.00
2352 佳世達,202006  ,5,5,2,3,40.00
2353 宏碁,202006  ,1,1,1,0,100.00
2353 宏碁,202006  ,2,2,1,1,50.00
2355 敬鵬,202006  ,1,7,3,4,42.86
2355 敬鵬,202006  ,2,21,8,13,38.10
2355 敬鵬,202006  ,3,6,2,4,33.33
2357 華碩,202006  ,1,10,5,5,50.00
2357 華碩,202006  ,2,2,2,0,100.00
2357 華碩,202006  ,3,1,1,0,100.00
2357 華碩,202006  ,4,3,2,1,66.67
2357 華碩,202006  ,5,4,1,3,25.00
2357 華碩,202006  ,6,60,1,59,1.67
2357 華碩,202006  ,7,1,1,0,100.00
2359 所羅門,202006  ,1,1,1,0,100.00
2359 所羅門,202006  ,2,2,2,0,100.00
2360 致茂,202006  ,1,17,4,13,23.53
2362 藍天,202006  ,1,6,1,5,16.67
2363 矽統,202006  ,1,1,1,0,100.00
2371 大同,202006  ,1,1,1,0,100.00
2371 大同,202006  ,2,1,1,0,100.00
2373 震旦行,202006  ,1,2,1,1,50.00
2373 震旦行,202006  ,2,1,1,0,100.00
2373 震旦行,202006  ,3,4,3,1,75.00
2373 震旦行,202006  ,4,2,2,0,100.00
2373 震旦行,202006  ,5,1,1,0,100.00
2373 震旦行,202006  ,6,4,4,0,100.00
2379 瑞昱,202006  ,1,39,4,35,10.26
2382 廣達,202006  ,1,1,1,0,100.00
2382 廣達,202006  ,2,87,18,69,20.69
2382 廣達,202006  ,3,1,1,0,100.00
2383 台光電,202006  ,1,9,7,2,77.78
2385 群光,202006  ,1,1,1,0,100.00
2385 群光,202006  ,2,8,1,7,12.50
2387 精元,202006  ,1,2,1,1,50.00
2392 正崴,202006  ,1,1,1,0,100.00
2392 正崴,202006  ,2,3,3,0,100.00
2393 億光,202006  ,1,16,6,10,37.50
2395 研華,202006  ,1,30,3,27,10.00
2396 精碟,202006  ,1,1,1,0,100.00
2397 友通,202006  ,1,6,1,5,16.67
2401 凌陽,202006  ,1,3,2,1,66.67
2402 毅嘉,202006  ,1,1,1,0,100.00
2403 友尚,202006  ,1,2,1,1,50.00
2406 國碩,202006  ,1,2,1,1,50.00
2408 南亞科,202006  ,1,34,5,29,14.71
2409 友達,202006  ,1,14,2,12,14.29
2412 中華電,202006  ,1,9,3,6,33.33
2412 中華電,202006  ,2,1,1,0,100.00
2412 中華電,202006  ,3,5,4,1,80.00
2412 中華電,202006  ,4,10,1,9,10.00
2414 精技,202006  ,1,4,1,3,25.00
2414 精技,202006  ,2,3,2,1,66.67
2427 三商電,202006  ,1,7,3,4,42.86
2429 銘旺科,202006  ,1,1,1,0,100.00
2430 燦坤,202006  ,1,4,4,0,100.00
2432 倚天酷碁-創,202006  ,1,1,1,0,100.00
2439 美律,202006  ,1,7,3,4,42.86
2441 超豐,202006  ,1,38,3,35,7.89
2453 凌群,202006  ,1,11,2,9,18.18
2454 聯發科,202006  ,1,3,2,1,66.67
2461 光群雷,202006  ,1,2,1,1,50.00
2464 盟立,202006  ,1,10,1,9,10.00
2480 敦陽科,202006  ,1,5,2,3,40.00
2480 敦陽科,202006  ,2,1,1,0,100.00
2481 強茂,202006  ,1,1,1,0,100.00
2492 華新科,202006  ,1,1,1,0,100.00
2495 普安,202006  ,1,4,1,3,25.00
2501 國建,202006  ,1,1,1,0,100.00
2520 冠德,202006  ,1,1,1,0,100.00
2520 冠德,202006  ,2,7,2,5,28.57
2526 大陸,202006  ,1,1,1,0,100.00
2535 達欣工,202006  ,1,1,1,0,100.00
2540 愛山林,202006  ,1,1,1,0,100.00
2542 興富發,202006  ,1,1,1,0,100.00
2542 興富發,202006  ,2,2,2,0,100.00
2542 興富發,202006  ,3,2,2,0,100.00
2542 興富發,202006  ,4,4,2,2,50.00
2545 皇翔,202006  ,1,1,1,0,100.00
2546 根基,202006  ,1,7,2,5,28.57
2547 日勝生,202006  ,1,1,1,0,100.00
2548 華固,202006  ,1,1,1,0,100.00
2557 泛亞工程,202006  ,1,7,2,5,28.57
2597 潤弘,202006  ,1,8,2,6,25.00
2597 潤弘,202006  ,2,1,1,0,100.00
2597 潤弘,202006  ,3,3,1,2,33.33
2603 長榮,202006  ,1,19,5,14,26.32
2608 嘉里大榮,202006  ,1,3,2,1,66.67
2609 陽明,202006  ,1,16,8,8,50.00
2610 華航,202006  ,1,1,1,0,100.00
2610 華航,202006  ,2,8,4,4,50.00
2610 華航,202006  ,3,7,1,6,14.29
2614 東森,202006  ,1,3,1,2,33.33
2619 新竹物流,202006  ,1,42,1,41,2.38
2619 新竹物流,202006  ,2,3,2,1,66.67
2621 立榮航空,202006  ,1,5,1,4,20.00
2636 台驊控股,202006  ,1,1,1,0,100.00
2716 長榮國際,202006  ,1,11,4,7,36.36
2716 長榮國際,202006  ,2,1,1,0,100.00
2716 長榮國際,202006  ,3,1,1,0,100.00
2762 世界健身-KY,202006  ,1,1,1,0,100.00
2762 世界健身-KY,202006  ,10,1,1,0,100.00
2762 世界健身-KY,202006  ,11,1,1,0,100.00
2762 世界健身-KY,202006  ,12,1,1,0,100.00
2762 世界健身-KY,202006  ,13,1,1,0,100.00
2762 世界健身-KY,202006  ,14,1,1,0,100.00
2762 世界健身-KY,202006  ,15,1,1,0,100.00
2762 世界健身-KY,202006  ,16,1,1,0,100.00
2762 世界健身-KY,202006  ,17,1,1,0,100.00
2762 世界健身-KY,202006  ,18,1,1,0,100.00
2762 世界健身-KY,202006  ,2,1,1,0,100.00
2762 世界健身-KY,202006  ,3,1,1,0,100.00
2762 世界健身-KY,202006  ,4,1,1,0,100.00
2762 世界健身-KY,202006  ,5,1,1,0,100.00
2762 世界健身-KY,202006  ,6,1,1,0,100.00
2762 世界健身-KY,202006  ,7,1,1,0,100.00
2762 世界健身-KY,202006  ,8,1,1,0,100.00
2762 世界健身-KY,202006  ,9,1,1,0,100.00
2812 台中銀,202006  ,1,25,3,22,12.00
2812 台中銀,202006  ,2,1,1,0,100.00
2834 臺企銀,202006  ,1,2,1,1,50.00
2838 聯邦銀,202006  ,1,1,1,0,100.00
2845 遠東銀,202006  ,1,24,5,19,20.83
2849 安泰銀,202006  ,1,14,3,11,21.43
2854 寶來證,202006  ,1,3,1,2,33.33
2858 中租迪和,202006  ,1,3,1,2,33.33
2858 中租迪和,202006  ,2,8,3,5,37.50
2880 華南金,202006  ,1,1,1,0,100.00
2880 華南金,202006  ,2,1,1,0,100.00
2881 富邦金,202006  ,1,1,1,0,100.00
2883 凱基金,202006  ,1,2,1,1,50.00
2883 凱基金,202006  ,2,1,1,0,100.00
2883 凱基金,202006  ,3,27,7,20,25.93
2884 玉山金,202006  ,1,1,1,0,100.00
2884 玉山金,202006  ,2,2,2,0,100.00
2885 元大金,202006  ,1,3,1,2,33.33
2885 元大金,202006  ,2,12,2,10,16.67
2886 兆豐金,202006  ,1,1,1,0,100.00
2886 兆豐金,202006  ,2,3,1,2,33.33
2887 台新金,202006  ,1,11,3,8,27.27
2892 第一金,202006  ,1,1,1,0,100.00
2903 遠百,202006  ,1,9,2,7,22.22
2903 遠百,202006  ,2,3,1,2,33.33
2904 匯僑,202006  ,1,1,1,0,100.00
2905 三商,202006  ,1,3,2,1,66.67
2905 三商,202006  ,2,12,4,8,33.33
2905 三商,202006  ,3,7,3,4,42.86
2905 三商,202006  ,4,2,1,1,50.00
2906 高林,202006  ,1,2,1,1,50.00
2906 高林,202006  ,2,1,1,0,100.00
2906 高林,202006  ,3,1,1,0,100.00
2912 統一超,202006  ,1,1,1,0,100.00
2912 統一超,202006  ,2,1,1,0,100.00
2915 潤泰全,202006  ,1,3,1,2,33.33
2916 滿心,202006  ,1,6,2,4,33.33
2945 三商家購,202006  ,1,3,2,1,66.67
30001 證交所,202006  ,1,1,1,0,100.00
3005 神基,202006  ,1,7,1,6,14.29
3008 大立光,202006  ,1,70,4,66,5.71
3010 華立,202006  ,1,1,1,0,100.00
3010 華立,202006  ,2,1,1,0,100.00
3013 晟銘電,202006  ,1,1,1,0,100.00
3014 聯陽,202006  ,1,4,2,2,50.00
3017 奇鋐,202006  ,1,1,1,0,100.00
3027 盛達,202006  ,1,1,1,0,100.00
3028 增你強,202006  ,1,3,1,2,33.33
3029 零壹,202006  ,1,1,1,0,100.00
3029 零壹,202006  ,2,2,1,1,50.00
3032 偉訓,202006  ,1,1,1,0,100.00
3033 威健,202006  ,1,4,2,2,50.00
3036 文曄,202006  ,1,1,1,0,100.00
3036 文曄,202006  ,2,8,3,5,37.50
3037 欣興,202006  ,1,3,1,2,33.33
3037 欣興,202006  ,2,131,6,125,4.58
3037 欣興,202006  ,3,26,4,22,15.38
3049 精金,202006  ,1,3,1,2,33.33
3057 喬鼎,202006  ,1,2,1,1,50.00
3060 銘異,202006  ,1,2,1,1,50.00
3078 僑威,202006  ,1,1,1,0,100.00
3093 港建*,202006  ,1,1,1,0,100.00
3105 穩懋,202006  ,1,30,5,25,16.67
3117 年程,202006  ,1,3,1,2,33.33
3131 弘塑,202006  ,1,1,1,0,100.00
3141 晶宏,202006  ,1,1,1,0,100.00
3144 新揚科,202006  ,1,2,1,1,50.00
3157 台灣之星,202006  ,1,21,1,20,4.76
3167 大量,202006  ,1,2,1,1,50.00
3168 眾福科,202006  ,1,1,1,0,100.00
3176 基亞,202006  ,1,1,1,0,100.00
3184 微邦,202006  ,1,1,1,0,100.00
3202 樺晟,202006  ,1,1,1,0,100.00
3206 志豐,202006  ,1,1,1,0,100.00
3217 優群,202006  ,1,1,1,0,100.00
3218 大學光,202006  ,1,2,2,0,100.00
3231 緯創,202006  ,1,95,15,80,15.79
3231 緯創,202006  ,2,1,1,0,100.00
3231 緯創,202006  ,3,15,3,12,20.00
3231 緯創,202006  ,4,1,1,0,100.00
3257 虹冠電,202006  ,1,1,1,0,100.00
3259 鑫創,202006  ,1,1,1,0,100.00
3260 威剛,202006  ,1,6,1,5,16.67
3264 欣銓,202006  ,1,6,4,2,66.67
3272 東碩,202006  ,1,2,2,0,100.00
3296 勝德,202006  ,1,1,1,0,100.00
3305 昇貿,202006  ,1,1,1,0,100.00
3311 閎暉,202006  ,1,2,1,1,50.00
3312 弘憶股,202006  ,1,1,1,0,100.00
3315 宣昶,202006  ,1,1,1,0,100.00
3317 尼克森,202006  ,1,1,1,0,100.00
3322 建舜電,202006  ,1,1,1,0,100.00
3322 建舜電,202006  ,2,1,1,0,100.00
3323 加百裕,202006  ,1,3,2,1,66.67
3345 慶良,202006  ,1,1,1,0,100.00
3346 麗清,202006  ,1,1,1,0,100.00
3356 奇偶,202006  ,1,2,1,1,50.00
3376 新日興,202006  ,1,25,1,24,4.00
3379 彬台,202006  ,1,1,1,0,100.00
3402 漢科,202006  ,1,4,1,3,25.00
3428 光燿科,202006  ,1,1,1,0,100.00
3443 創意,202006  ,1,6,2,4,33.33
3447 展達,202006  ,1,1,1,0,100.00
3450 聯鈞,202006  ,1,6,1,5,16.67
3454 晶睿,202006  ,1,8,5,3,62.50
3454 晶睿,202006  ,2,10,1,9,10.00
3454 晶睿,202006  ,3,1,1,0,100.00
3490 單井,202006  ,1,1,1,0,100.00
3498 陽程,202006  ,1,3,1,2,33.33
3515 華擎,202006  ,1,1,1,0,100.00
3515 華擎,202006  ,2,2,2,0,100.00
3515 華擎,202006  ,3,3,2,1,66.67
3529 力旺,202006  ,1,2,2,0,100.00
3532 台勝科,202006  ,1,13,3,10,23.08
3533 嘉澤,202006  ,1,1,1,0,100.00
3545 敦泰,202006  ,1,3,2,1,66.67
3548 兆利,202006  ,1,1,1,0,100.00
3565 奧圖碼,202006  ,1,1,1,0,100.00
3573 穎台,202006  ,1,1,1,0,100.00
3576 聯合再生,202006  ,1,1,1,0,100.00
3587 閎康,202006  ,1,6,2,4,33.33
3588 通嘉,202006  ,1,1,1,0,100.00
3605 宏致,202006  ,1,4,2,2,50.00
3615 安可,202006  ,1,1,1,0,100.00
3645 達邁,202006  ,1,4,3,1,75.00
3652 精聯,202006  ,1,3,2,1,66.67
3653 健策,202006  ,1,6,1,5,16.67
3666 光耀,202006  ,1,2,1,1,50.00
3673 TPK-KY,202006  ,1,1,1,0,100.00
3682 亞太電,202006  ,1,3,2,1,66.67
3683 仲博科技,202006  ,1,1,1,0,100.00
3685 元創精密,202006  ,1,1,1,0,100.00
3691 碩禾,202006  ,1,2,1,1,50.00
3693 營邦,202006  ,1,4,2,2,50.00
3694 海華,202006  ,1,1,1,0,100.00
3698 隆達,202006  ,1,14,2,12,14.29
3702 大聯大,202006  ,1,7,2,5,28.57
3702 大聯大,202006  ,2,2,1,1,50.00
3702 大聯大,202006  ,3,2,2,0,100.00
3702 大聯大,202006  ,4,1,1,0,100.00
3702 大聯大,202006  ,5,1,1,0,100.00
3703 欣陸,202006  ,1,1,1,0,100.00
3705 永信,202006  ,1,1,1,0,100.00
3708 上緯投控,202006  ,1,1,1,0,100.00
3711 日月光投控,202006  ,1,40,6,34,15.00
3712 永崴投控,202006  ,1,1,1,0,100.00
3714 富采,202006  ,1,14,2,12,14.29
3716 中化控股,202006  ,1,4,4,0,100.00
3716 中化控股,202006  ,2,1,1,0,100.00
4103 百略,202006  ,1,1,1,0,100.00
4104 佳醫,202006  ,1,1,1,0,100.00
4114 健喬,202006  ,1,3,1,2,33.33
4114 健喬,202006  ,2,1,1,0,100.00
4119 旭富,202006  ,1,2,1,1,50.00
4121 優盛,202006  ,1,1,1,0,100.00
4129 聯合,202006  ,1,1,1,0,100.00
4129 聯合,202006  ,2,5,1,4,20.00
4133 亞諾法,202006  ,1,1,1,0,100.00
4147 中裕,202006  ,1,1,1,0,100.00
4150 優你康,202006  ,1,1,1,0,100.00
4161 聿新科,202006  ,1,1,1,0,100.00
4167 松瑞藥,202006  ,1,2,1,1,50.00
4167 松瑞藥,202006  ,2,2,1,1,50.00
4171 瑞基,202006  ,1,1,1,0,100.00
4173 久裕,202006  ,1,1,1,0,100.00
4180 保盛藥業,202006  ,1,2,1,1,50.00
4306 炎洲,202006  ,1,1,1,0,100.00
4306 炎洲,202006  ,2,6,5,1,83.33
4419 皇家美食,202006  ,1,11,5,6,45.45
4423 仁宗蕾絲,202006  ,1,1,1,0,100.00
4438 廣越,202006  ,1,2,1,1,50.00
4550 長佳,202006  ,1,1,1,0,100.00
4572 駐龍,202006  ,1,2,1,1,50.00
4707 磐亞,202006  ,1,25,3,22,12.00
4707 磐亞,202006  ,2,1,1,0,100.00
4737 華廣,202006  ,1,9,1,8,11.11
4746 台耀,202006  ,1,7,3,4,42.86
4749 新應材,202006  ,1,2,2,0,100.00
4755 三福化,202006  ,1,3,1,2,33.33
4904 遠傳,202006  ,1,3,2,1,66.67
4904 遠傳,202006  ,2,1,1,0,100.00
4904 遠傳,202006  ,3,1,1,0,100.00
4915 致伸,202006  ,1,8,3,5,37.50
4938 和碩,202006  ,1,1,1,0,100.00
4938 和碩,202006  ,2,1,1,0,100.00
4938 和碩,202006  ,3,2,2,0,100.00
4938 和碩,202006  ,4,1,1,0,100.00
4938 和碩,202006  ,5,3,2,1,66.67
4960 誠美材,202006  ,1,10,7,3,70.00
4985 富相,202006  ,1,1,1,0,100.00
4994 傳奇,202006  ,1,5,3,2,60.00
5009 榮剛,202006  ,1,1,1,0,100.00
5201 凱衛,202006  ,1,1,1,0,100.00
5202 力新,202006  ,1,1,1,0,100.00
